lap,driver_code,driver_name,driver_car,driver_team,rival_code,rival_name,rival_car,rival_team,new_position,old_position,positions_gained,lap_time,passing_zone,maneuver_type,apex_speed_kph,peak_closing_speed_kph,min_gap_sec,peak_speed_kph,overtake_energy_mj,reward_score,risk_score,risk_ratio,risk_ratio_str,risk_level,outcome,drs_active,telemetry_source
2,VER,Verstappen,Car #33 Verstappen,Red Bull,RIC,Ricciardo,Car #3 Ricciardo,McLaren,3,4,1,1:26.401,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,31.6,0.23,341.5,1.41,37.9,71.1,1.88,1.88:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
2,STR,Stroll,Car #18 Stroll,Aston Martin,VET,Vettel,Car #5 Vettel,Aston Martin,10,11,1,1:28.722,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,29.0,0.22,339.1,1.47,36.2,87.4,2.41,2.41:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
2,OCO,Ocon,Car #31 Ocon,Alpine F1 Team,MAG,Magnussen,Car #20 Magnussen,Haas F1 Team,12,13,1,1:28.849,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,35.4,0.1,331.4,1.16,39.7,78.5,1.98,1.98:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
2,SAI,Sainz,Car #55 Sainz,Ferrari,LAT,Latifi,Car #6 Latifi,Williams,14,16,2,1:29.685,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,32.1,0.11,339.3,1.13,39.5,75.3,1.91,1.91:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
2,SAI,Sainz,Car #55 Sainz,Ferrari,PER,Perez,Car #11 Perez,Red Bull,14,16,2,1:29.685,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,32.3,0.2,331.7,1.36,43.1,68.9,1.6,1.60:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
2,TSU,Tsunoda,Car #22 Tsunoda,AlphaTauri,MSC,Schumacher,Car #47 Schumacher,Haas F1 Team,17,18,1,1:29.541,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,33.5,0.09,329.2,1.62,47.6,84.2,1.77,1.77:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
2,HAM,Hamilton,Car #44 Hamilton,Mercedes,MSC,Schumacher,Car #47 Schumacher,Haas F1 Team,18,19,1,1:30.032,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,31.0,0.08,340.7,1.31,37.5,77.9,2.08,2.08:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
3,PER,Perez,Car #11 Perez,Red Bull,LAT,Latifi,Car #6 Latifi,Williams,15,16,1,1:27.557,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,28.8,0.22,332.8,1.45,39.7,78.4,1.97,1.97:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
4,SAI,Sainz,Car #55 Sainz,Ferrari,MAG,Magnussen,Car #20 Magnussen,Haas F1 Team,13,14,1,1:27.044,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,33.0,0.09,345.9,1.52,47.3,85.9,1.82,1.82:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
4,PER,Perez,Car #11 Perez,Red Bull,MAG,Magnussen,Car #20 Magnussen,Haas F1 Team,14,15,1,1:27.263,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,33.5,0.23,329.6,1.17,36.5,74.5,2.04,2.04:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
5,VER,Verstappen,Car #33 Verstappen,Red Bull,RUS,Russell,Car #63 Russell,Mercedes,2,3,1,1:25.512,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,31.7,0.11,343.3,1.26,39.4,78.9,2.0,2.00:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
5,SAI,Sainz,Car #55 Sainz,Ferrari,VET,Vettel,Car #5 Vettel,Aston Martin,11,13,2,1:26.543,Turn 11 Curva Parabolica (Alboreto Slipstream),High Downforce Outside Slingshot,215.0,29.7,0.2,329.4,1.64,45.3,72.0,1.59,1.59:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
5,SAI,Sainz,Car #55 Sainz,Ferrari,OCO,Ocon,Car #31 Ocon,Alpine F1 Team,11,13,2,1:26.543,Turn 1 - 2 Variante del Rettifilo (Main Straight DRS),DRS Slipstream + Late Braking Dive,74.5,28.5,0.21,341.1,1.49,45.3,69.5,1.53,1.53:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
6,SAI,Sainz,Car #55 Sainz,Ferrari,STR,Stroll,Car #18 Stroll,Aston Martin,10,11,1,1:26.343,Turn 4 - 5 Variante della Roggia (DRS Zone 2),Inside Line Apex Cut,118.0,31.5,0.08,344.0,1.42,40.0,69.3,1.73,1.73:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
6,PER,Perez,Car #11 Perez,Red Bull,OCO,Ocon,Car #31 Ocon,Alpine F1 Team,13,14,1,1:27.535,Turn 8 - 10 Variante Ascari (Curva del Serraglio),Switchback Traction Drive,168.0,31.1,0.12,341.5,1.43,46.6,77.4,1.66,1.66:1 (HIGH RISK),HIGH,COMPLETED (+1 POS),True,Kaggle F1 World Championship Dataset (Monza GP)
