lap,t_in_lap,tyre_age,battery_soc_pct,deploy_kw,energy_used_lap_mj,speed_kph,gap_sec,closing_speed_kph,drs_available,mode_ground_truth,overtake_attempted,overtake_success
1,0.0,1,99.98,95.92,0.005,220.0,0.102,17.63,True,Push,True,True
1,0.0006,1,99.97,95.5,0.01,220.1,0.218,11.14,True,Overtake,True,True
1,0.0011,1,99.96,68.37,0.013,214.7,0.274,16.73,True,Push,True,True
1,0.0017,1,99.95,11.86,0.014,203.1,0.05,3.19,True,Balance,True,False
1,0.0022,1,99.94,110.53,0.019,223.9,0.348,4.89,True,Overtake,True,True
1,0.0028,1,99.94,-32.24,0.019,194.3,0.475,-3.46,True,Harvest,False,False
1,0.0033,1,99.92,116.37,0.025,225.5,0.547,-3.07,True,Push,False,False
1,0.0039,1,99.91,76.86,0.029,217.5,0.091,-7.67,True,Push,False,False
1,0.0044,1,99.92,-37.76,0.029,193.8,0.05,9.66,True,Harvest,True,False
1,0.005,1,99.91,24.34,0.03,207.0,0.586,12.1,True,Balance,True,True
1,0.0056,1,99.89,103.78,0.035,223.7,1.309,-3.3,False,Push,False,False
1,0.0061,1,99.89,32.45,0.037,209.1,0.444,4.39,True,Balance,True,True
1,0.0067,1,99.87,98.18,0.042,223.0,0.426,3.24,True,Push,True,True
1,0.0072,1,99.87,13.08,0.042,205.4,1.593,7.86,False,Balance,False,False
1,0.0078,1,99.87,-21.0,0.042,198.6,1.338,15.97,False,Harvest,False,False
1,0.0083,1,99.88,-30.46,0.042,196.8,1.022,6.4,False,Harvest,False,False
1,0.0089,1,99.89,-39.79,0.042,195.1,0.077,8.62,True,Harvest,True,True
1,0.0094,1,99.88,24.55,0.044,208.7,0.174,3.67,True,Balance,True,True
1,0.01,1,99.87,96.57,0.048,223.9,0.05,8.82,True,Push,True,True
1,0.0106,1,99.85,74.52,0.052,219.5,0.86,2.93,True,Push,True,True
1,0.0111,1,99.85,35.29,0.054,211.5,0.057,1.05,True,Balance,True,True
1,0.0117,1,99.84,61.0,0.057,217.1,0.154,12.39,True,Push,True,False
1,0.0122,1,99.82,116.2,0.063,228.8,0.25,2.15,True,Push,True,False
1,0.0128,1,99.82,-23.34,0.063,199.9,1.365,9.45,False,Harvest,False,False
1,0.0133,1,99.83,-21.01,0.063,200.6,1.364,7.0,False,Harvest,False,False
1,0.0139,1,99.82,16.47,0.064,208.7,0.05,7.77,True,Balance,True,True
1,0.0144,1,99.82,16.43,0.064,208.9,0.633,10.88,True,Balance,True,True
1,0.015,1,99.8,110.95,0.07,228.8,0.504,-2.64,True,Push,False,False
1,0.0156,1,99.79,74.64,0.074,221.4,0.3,7.21,True,Push,True,False
1,0.0161,1,99.78,29.7,0.075,212.3,0.198,11.62,True,Balance,True,True
1,0.0167,1,99.78,47.62,0.078,216.2,0.277,8.79,True,Balance,True,False
1,0.0172,1,99.78,-31.17,0.078,200.0,0.111,4.42,True,Harvest,True,False
1,0.0178,1,99.78,-19.12,0.078,202.7,2.766,0.17,False,Harvest,False,False
1,0.0183,1,99.79,-17.78,0.078,203.2,0.209,-4.14,True,Harvest,False,False
